70,모모스테이크, 051- 802-4061,부산광역시 부산진구 부전동 189번지 8호  
71,언양꼬리곰탕,051 -806 -2252,부산광역시 부산진구 부전동 242번지 27호  
72,이자카야타비타비,,부산광역시 부산진구 부전동 517번지 33호  
73,킹콩부대찌개(롯데점),051 -804 -8582,부산광역시 부산진구 부전동 519번지 2호  
74,컨츄리꼬꼬, 051- 819-4609,부산광역시 부산진구 부전동 502번지 8호  
75,삼바리,,부산광역시 부산진구 부전동 156번지 1호 지상1층 
76,옹고집, 051- 806-4847,부산광역시 부산진구 부전동 519번지 30호  
77,가득족발,051 -806 -9080,부산광역시 부산진구 부전동 142번지 9호  
78,급행장, 051- 809-2100,부산광역시 부산진구 부전동 259번지 27호  
79,옥이국수,051 -808 -3230,부산광역시 부산진구 부전동 264번지 5호 (1층) 
80,참샘굴국밥, 051- 807-7196,부산광역시 부산진구 부전동 347번지 2호 (1층) 
81,정원오리보쌈, 051- 802-0594,부산광역시 부산진구 부전동 394번지 38호  
82,경회루&명옥꼬마김밥, 051- 802-8852,부산광역시 부산진구 부전동 400번지 1호  
83,돌담집, 051- 819-0363,부산광역시 부산진구 부전동 398번지 22호  
84,천일횟집,051 - 809-8678,부산광역시 부산진구 부전동 397번지 4호  
85,장어촌, 051- 809-6766,부산광역시 부산진구 부전동 475번지 12호  
86,서울깍두기,051 -809 -0224,부산광역시 부산진구 부전동 486번지 3호 1층 
87,남포동 서울깍두기,051 -809 -7398,부산광역시 부산진구 부전동 262번지 9호 (1층) 
88,종로빈대떡, 051- 803-8538,부산광역시 부산진구 부전동 486번지 22호  
89,오모가리김치찌개, 051- 804-5396,부산광역시 부산진구 부전동 474번지 71호  
90,강촌어탕국수, 051- 818-6701,부산광역시 부산진구 부전동 406번지 68호  
91,부광횟집, 051- 809-6039,"부산광역시 부산진구 부전동 398번지 4호 (1,2층) "
92,도촌, 051- 806-4845,부산광역시 부산진구 부전동 524번지 18호  
93,랜덤포차, 051- 807-8602,부산광역시 부산진구 부전동 156번지 43호  
94,독도는 새우땅, 051- 806-0506,부산광역시 부산진구 부전동 233번지 17호  
95,쑝쑝돈까스 서면롯데점,,부산광역시 부산진구 부전동 490번지 36호  
96,발빠닭,051 -809 -7007,부산광역시 부산진구 부전동 168번지 328호  
97,정선가, 051-809 -5455,부산광역시 부산진구 부전동 122번지 24호  
98,양지식당, 051- 802-8085,부산광역시 부산진구 부전동 352번지 2호  
99,태화육개장, 051- 802-5995,부산광역시 부산진구 부전동 397번지 21호  
